afp/coinductive_list/7942862	casc_sat	450020	Satisfiable	casc	60155744	Timeout	casc_sat	449946	Satisfiable	casc	60154374	Timeout	Timeout	60300244	timeout	60030315
afp/coinductive_list/7953004	casc_sat	483097	Satisfiable	casc	60168285	Timeout	casc_sat	486820	Satisfiable	casc	60110298	Timeout	Timeout	60225289	timeout	60029598
afp/coinductive_list/7969298	casc_sat	40351	Unsatisfiable	casc	42558	Unsatisfiable	casc_sat	31736	Unsatisfiable	casc	40874	Unsatisfiable	Unsatisfiable	134066	unsat(a28 a43)	65173
afp/coinductive_list/7975335	casc_sat	60114937	Timeout	casc	60234387	Timeout	casc_sat	60089218	Timeout	casc	60129680	Timeout	Timeout	61149113	timeout	60099889
afp/coinductive_list/8002048	casc_sat	123393	Unsatisfiable	casc	80185	Unsatisfiable	casc_sat	109763	Unsatisfiable	casc	70066	Unsatisfiable	Unsatisfiable	275828	unsat(a41 a40 a33 a8 a17)	73981
afp/coinductive_list/8007745	casc_sat	1393972	Satisfiable	casc	60138388	Timeout	casc_sat	1312046	Satisfiable	casc	60145309	Timeout	Timeout	61094940	timeout	60101625
afp/coinductive_list/8013546	casc_sat	106655	Unsatisfiable	casc	64905	Unsatisfiable	casc_sat	96746	Unsatisfiable	casc	62023	Unsatisfiable	Unsatisfiable	290711	unsat(a40 a39 a32 a8 a16)	75581
afp/coinductive_list/8019328	casc_sat	1457682	Satisfiable	casc	60088536	Timeout	casc_sat	1859508	Satisfiable	casc	60121044	TimeoutTimeout	Timeout	61148540	timeout	60025964
afp/coinductive_list/8041052	casc_sat	115868	Unsatisfiable	casc	84136	Unsatisfiable	casc_sat	104862	Unsatisfiable	casc	65814	Unsatisfiable	Unsatisfiable	295572	unsat(a48 a47 a20 a36)	61693
afp/coinductive_list/8051937	casc_sat	60172873	Timeout	casc	10149339	Unsatisfiable	casc_sat	60062435	Timeout	casc	1197033	Unsatisfiable	Timeout	61162548	timeout	60026865
afp/coinductive_list/8057756	casc_sat	9088201	Unsatisfiable	casc	63109	Unsatisfiable	casc_sat	224124	Unsatisfiable	casc	58740	Unsatisfiable	Unsatisfiable	463035	unsat(a37 a13 a20)	64885
afp/coinductive_list/8068851	casc_sat	1185369	Satisfiable	casc	60134196	Timeout	casc_sat	1217835	Satisfiable	casc	60138370	Timeout	Timeout	60417074	timeout	60036979
afp/coinductive_list_prefix/1907643	casc_sat	592388	Satisfiable	casc	60103552	Timeout	casc_sat	595547	Satisfiable	casc	60113303	Timeout	Timeout	60597196	timeout	60068032
afp/coinductive_stream/2123602	casc_sat	60097976	Timeout	casc	60091003	Timeout	casc_sat	60106973	Timeout	casc	60075815	Timeout	Unsatisfiable	373382	unsat(a101 a88 a87 a62 a61 a53 a40 a6 a0 a1)	100933
afp/coinductive_stream/2132646	casc_sat	60108124	Timeout	casc	929367	Unsatisfiable	casc_sat	62608	Unsatisfiable	casc	2204799	Unsatisfiable	Unsatisfiable	14713396	unsat(a180 a179 a178 a114 a76 a41 a75)	90133
afp/coinductive_stream/2136977	casc_sat	5503959	Satisfiable	casc	60071420	Timeout	casc_sat	4535171	Satisfiable	casc	60077249	Timeout	Timeout	61190544	timeout	60064797
afp/coinductive_stream/2141028	casc_sat	60073161	Timeout	casc	60071587	Timeout	casc_sat	60209128	Timeout	casc	60154206	Timeout	Timeout	61074341	timeout	60341074
afp/coinductive_stream/2145429	casc_sat	1518787	Satisfiable	casc	60109496	Timeout	casc_sat	1460372	Satisfiable	casc	60121471	Timeout	Timeout	61149804	timeout	60438819
afp/coinductive_stream/2149828	casc_sat	1600136	Satisfiable	casc	60076232	Timeout	casc_sat	1634389	Satisfiable	casc	60154307	Timeout	Timeout	61159219	timeout	60212744
afp/coinductive_stream/2154233	casc_sat	1616742	Satisfiable	casc	60169962	Timeout	casc_sat	1756879	Satisfiable	casc	60123986	Timeout	Timeout	61199207	timeout	60061226
afp/coinductive_stream/2158699	casc_sat	805896	Satisfiable	casc	60109759	Timeout	casc_sat	755885	Satisfiable	casc	60116103	Timeout	Timeout	61161182	timeout	60089266
afp/coinductive_stream/2163030	casc_sat	60206537	Timeout	casc	60072511	Timeout	casc_sat	60139047	Timeout	casc	60111131	Timeout	Timeout	61236985	timeout	60237372
afp/coinductive_stream/2167233	casc_sat	60046827	Timeout	casc	60134670	Timeout	casc_sat	60094397	Timeout	casc	60166794	Timeout	Timeout	61174241	timeout	60044295
afp/coinductive_stream/2177308	casc_sat	4259079	Satisfiable	casc	60116432	Timeout	casc_sat	4233230	Satisfiable	casc	60086435	Timeout	Timeout	61157142	timeout	60024843
afp/coinductive_stream/2182313	casc_sat	811991	Satisfiable	casc	60105053	Timeout	casc_sat	807891	Satisfiable	casc	60105787	Timeout	Timeout	61133971	timeout	60052298
afp/coinductive_stream/2187217	casc_sat	1090951	Satisfiable	casc	60114945	Timeout	casc_sat	1080087	Satisfiable	casc	60143042	Timeout	GaveUp	1160017	timeout	60539995
afp/coinductive_stream/2191816	casc_sat	60081234	Timeout	casc	60136583	TimeoutTimeout	casc_sat	60085368	Timeout	casc	60102804	Timeout	Timeout	61197536	timeout	60309139
afp/coinductive_stream/2194859	casc_sat	1383591	Satisfiable	casc	60135620	Timeout	casc_sat	1157679	Satisfiable	casc	60157887	Timeout	Timeout	61103960	timeout	60247080
afp/coinductive_stream/2243434	casc_sat	3283682	Satisfiable	casc	60004740	Timeout	casc_sat	3274202	Satisfiable	casc	60059024	Timeout	Timeout	61150951	timeout	60044191
afp/coinductive_stream/2262016	casc_sat	60062551	Timeout	casc	60128708	Timeout	casc_sat	60068276	Timeout	casc	60130663	TimeoutTimeout	Timeout	61150486	timeout	60054848
afp/coinductive_stream/2266936	casc_sat	1352025	Satisfiable	casc	60136822	Timeout	casc_sat	1437557	Satisfiable	casc	60135509	TimeoutTimeout	Timeout	61184038	timeout	60024585
afp/coinductive_stream/2289306	casc_sat	60073261	Timeout	casc	60110277	Timeout	casc_sat	60076598	Timeout	casc	60122585	Timeout	GaveUp	65055	timeout	60031313
afp/coinductive_stream/2418361	casc_sat	427245	Satisfiable	casc	3393934	Satisfiable	casc_sat	427367	Satisfiable	casc	3390426	Satisfiable	Timeout	60206365	timeout	60026780
afp/coinductive_stream/2421566	casc_sat	23540	Unsatisfiable	casc	27648	Unsatisfiable	casc_sat	27325	Unsatisfiable	casc	31238	Unsatisfiable	Unsatisfiable	31090	unsat(a2 a0 a1)	36631
afp/hamming_stream/2252726	casc_sat	26439	Unsatisfiable	casc	486590	Unsatisfiable	casc_sat	81559	Unsatisfiable	casc	953545	Unsatisfiable	Unsatisfiable	131507	unsat(a18 a12 a8 a7 a5 a0 a4)	41980
afp/huffman/1811490	casc_sat	23199	Satisfiable	casc	1383144	Satisfiable	casc_sat	29486	Satisfiable	casc	1420278	Satisfiable	GaveUp	159436	timeout	60022000
afp/huffman/1894268	casc_sat	23700	Satisfiable	casc	483808	Satisfiable	casc_sat	40412	Satisfiable	casc	524188	Satisfiable	GaveUp	163166	sat	51844
afp/sorted_list_operations/2034146	casc_sat	60039448	Timeout	casc	60083802	Timeout	casc_sat	60151801	Timeout	casc	60165123	Timeout	Timeout	61107292	timeout	60041086
afp/sorted_list_operations/2045245	casc_sat	60130474	Timeout	casc	60130519	Timeout	casc_sat	60059367	Timeout	casc	60102240	Timeout	Timeout	60636560	timeout	60033537
