afp/coinductive_list/8041052	Unsatisfiable	96989	Unsatisfiable	92440	Unsatisfiable	59008401	Unsatisfiable	345476	Unsatisfiable	295572	unsat(a48 a47 a20 a36)	61693
afp/coinductive_list/8051937	Timeout	60119860	Timeout	60140761	Timeout	60154786	Timeout	60034939	Timeout	61162548	timeout	60026865
afp/coinductive_list/8057756	Unsatisfiable	1165255	Unsatisfiable	60060	Unsatisfiable	52168518	Unsatisfiable	96109	Unsatisfiable	463035	unsat(a37 a13 a20)	64885
afp/coinductive_list/8068851	Timeout	60197856	Timeout	60091824	Timeout	60138130	Timeout	60069373	Timeout	60417074	timeout	60036979
afp/coinductive_list_prefix/1907643	Timeout	60100292	Timeout	60087229	Timeout	60150917	Timeout	60147183	Timeout	60597196	timeout	60068032
afp/coinductive_stream/2123602	Timeout	60177925	Timeout	60144373	Timeout	60220069	Timeout	60163369	Unsatisfiable	373382	unsat(a101 a88 a87 a62 a61 a53 a40 a6 a0 a1)	100933
afp/coinductive_stream/2132646	Timeout	60137137	Unsatisfiable	3640114	Timeout	60167848	Unsatisfiable	4777542	Unsatisfiable	14713396	unsat(a180 a179 a178 a114 a76 a41 a75)	90133
afp/coinductive_stream/2136977	Timeout	60085205	Timeout	60062097	Timeout	60160142	Timeout	60067447	Timeout	61190544	timeout	60064797
afp/coinductive_stream/2141028	Timeout	60159878	Timeout	60141931	Timeout	60132660	Timeout	60103325	Timeout	61074341	timeout	60341074
afp/coinductive_stream/2145429	Timeout	60207033	Timeout	60094207	Timeout	60211941	Timeout	60054380	Timeout	61149804	timeout	60438819
afp/coinductive_stream/2149828	Timeout	60166070	Timeout	60070922	Timeout	60164640	Timeout	60070525	Timeout	61159219	timeout	60212744
afp/coinductive_stream/2154233	Timeout	60199616	Timeout	60127488	Timeout	60131526	Timeout	60075716	Timeout	61199207	timeout	60061226
afp/coinductive_stream/2158699	Timeout	60132998	Timeout	60058427	Timeout	60163552	Timeout	60120263	Timeout	61161182	timeout	60089266
afp/coinductive_stream/2163030	Timeout	60159067	Timeout	60084214	Timeout	60270537	Timeout	60086207	Timeout	61236985	timeout	60237372
