NUM762^1.p	casc	Theorem	18484	Theorem	13320	Theorem	659287	Theorem	42357	Theorem	12790735
NUM765^1.p	casc	Theorem	14810	Theorem	12730	Theorem	682200	Theorem	56560	Theorem	6736844
NUM783^1.p	casc	Theorem	20682	Theorem	22027	Theorem	18381	Theorem	32347	Theorem	4666457
NUM784^1.p	casc	Theorem	12717	Theorem	13523	Theorem	26376	Theorem	34606	Theorem	7741927
NUM785^1.p	casc	Theorem	12697	Theorem	14062	Theorem	26397	Theorem	35375	Theorem	7737757
NUM786^1.p	casc	Theorem	22597	Theorem	14388	Theorem	18222	Theorem	30005	Theorem	4650772
NUM787^1.p	casc	Theorem	17577	Theorem	12581	Theorem	15738	Theorem	39388	Theorem	4679103
NUM788^1.p	casc	Theorem	13210	Theorem	12638	Theorem	23888	Theorem	34843	Theorem	4755150
NUM789^1.p	casc	Theorem	15284	Theorem	18344	Theorem	23604	Theorem	34639	Theorem	4768667
NUM790^1.p	casc	Theorem	13518	Theorem	15189	Theorem	19278	Theorem	30842	Theorem	4666784
NUM791^1.p	casc	Theorem	12527	Theorem	12759	Theorem	15822	Theorem	29968	Theorem	4734306
PUZ081^1.p	casc	Theorem	13827	Theorem	17649	Theorem	3855822	Theorem	64126	Theorem	8548287
PUZ081^3.p	casc	Theorem	13264	Theorem	15324	Theorem	508510	Theorem	41655	Theorem	4885473
PUZ082^1.p	casc	Theorem	16961	Theorem	12309	Theorem	24038	Theorem	31113	Theorem	5050192
PUZ083^1.p	casc	Theorem	18660	Theorem	12282	Theorem	116409	Theorem	29322	Theorem	4638437
PUZ137^1.p	casc	Theorem	12737	Theorem	12455	Theorem	17263	Theorem	104978	Theorem	10852604
SEU501^2.p	casc	Theorem	18646	Theorem	15618	Theorem	15731	Theorem	26983	Theorem	4670900
SEU502^2.p	casc	Theorem	13371	Theorem	16631	Theorem	14999	Theorem	32651	Theorem	4644710
SEU503^2.p	casc	Theorem	12599	Theorem	13444	Theorem	15767	Theorem	27700	Theorem	4643450
SEU506^2.p	casc	Theorem	15579	Theorem	14390	Theorem	27285	Theorem	36793	Theorem	4648517
SEU515^2.p	casc	Theorem	18518	Theorem	12389	Theorem	353805	Theorem	35923	Theorem	4587188
SEU519^2.p	casc	Theorem	14891	Theorem	12061	Theorem	66619	Theorem	31598	Theorem	4646390
SEU523^2.p	casc	Theorem	14956	Theorem	16282	Theorem	20842	Theorem	36134	Theorem	4648815
SEU527^2.p	casc	Theorem	17203	Theorem	20702	Theorem	24046	Theorem	42438	Theorem	4993475
SEU531^2.p	casc	Theorem	14169	Theorem	17565	Theorem	36583	Theorem	48369	Theorem	4664330
SEU610^2.p	casc	Theorem	13511	Theorem	13515	Theorem	2831273	Theorem	42477	Theorem	8278549
SEU614^2.p	casc	Theorem	12962	Theorem	19936	Theorem	99385	Theorem	65047	Theorem	4663230
SEU615^2.p	casc	Theorem	12577	Theorem	19994	Theorem	695072	Theorem	61169	Theorem	4652352
SEU633^2.p	casc	Theorem	19408	Theorem	13825	Theorem	435888	Theorem	37271	Theorem	4696545
SEU709^2.p	casc	Theorem	18869	Theorem	66743	Theorem	680809	Theorem	56732	Theorem	8072454
SEU746^2.p	casc	Theorem	12843	Theorem	16502	Theorem	16041	Theorem	40087	Theorem	4623564
SEU787^2.p	casc	Theorem	13170	Theorem	94315	Theorem	30285	Theorem	51494	Theorem	4644752
SEV434^1.p	casc	Theorem	15630	Theorem	19598	Theorem	232051	Theorem	96108	Theorem	5741207
SYN983^1.p	casc	Theorem	12856	Theorem	15006	Theorem	16067	Theorem	50361	Theorem	5077475
SYN987^1.p	casc_sat	CounterSatisfiable	13023	CounterSatisfiable	414305	CounterSatisfiable	15064	CounterSatisfiable	28912	Unknown	10762472
SYN987^2.p	casc	Unsatisfiable	11885	Unsatisfiable	13523	Unsatisfiable	15336	Unsatisfiable	25858	Unsatisfiable	4973648
SYN988^1.p	casc_sat	CounterSatisfiable	11716	CounterSatisfiable	413095	CounterSatisfiable	15049	CounterSatisfiable	26783	Unknown	10792291
SYN988^2.p	casc	Unsatisfiable	12001	Unsatisfiable	13376	Unsatisfiable	15376	Unsatisfiable	26219	Unsatisfiable	4993099
SYN989^1.p	casc	Theorem	11928	Theorem	11851	Theorem	15127	Theorem	30357	Theorem	4972910
SYN989^2.p	casc_sat	Satisfiable	16139	Satisfiable	412897	Satisfiable	226625	Satisfiable	41398	Unknown	20824094
SYO012^1.p	casc	Theorem	13212	Theorem	15406	Theorem	19567	Theorem	29156	Theorem	5039822
SYO013^1.p	casc	Theorem	17130	Theorem	11835	Theorem	15537	Theorem	27950	Theorem	5028265
SYO017^1.p	casc	Theorem	15984	Theorem	15283	Theorem	16126	Theorem	156898	Theorem	5036822
SYO019^1.p	casc	Theorem	12487	Theorem	12493	Theorem	15606	Theorem	43680	Theorem	4972772
SYO021^1.p	casc	Theorem	13497	Theorem	16832	Theorem	14907	Theorem	32935	Theorem	4996483
SYO028^1.p	casc	Theorem	12079	Theorem	11932	Theorem	16540	Theorem	26128	Theorem	5009412
SYO039^1.p	casc	Unsatisfiable	17224	Unsatisfiable	13007	Unsatisfiable	15379	Unsatisfiable	57661	Unsatisfiable	4804885
SYO039^2.p	casc	Theorem	20359	Theorem	14780	Theorem	17647	Theorem	56726	Theorem	4835756
SYO040^1.p	casc	Unsatisfiable	22647	Unsatisfiable	14688	Unsatisfiable	19166	Unsatisfiable	65994	Unsatisfiable	5697715
SYO040^2.p	casc	Theorem	20429	Theorem	14076	Theorem	16100	Theorem	66597	Theorem	5694009
SYO041^1.p	casc	Unsatisfiable	23377	Unsatisfiable	15885	Unsatisfiable	21473	Unsatisfiable	8618181	Unsatisfiable	5191984
SYO041^2.p	casc	Theorem	20178	Theorem	22076	Theorem	21760	Theorem	9545602	Theorem	5011841
SYO091^5.p	casc	Theorem	16023	Theorem	12941	Theorem	16151	Theorem	55740	Theorem	5067331
SYO180^5.p	casc	Theorem	19237	Theorem	14024	Theorem	226403	Theorem	187141	Theorem	5078050
SYO186^5.p	casc	Theorem	16294	Theorem	11834	Theorem	15314	Theorem	27799	Theorem	5004178
SYO187^5.p	casc	Theorem	12008	Theorem	13326	Theorem	15179	Theorem	26606	Theorem	4984999
SYO189^5.p	casc	Theorem	14023	Theorem	15785	Theorem	15242	Theorem	26733	Theorem	4985657
SYO195^5.p	casc	Theorem	11713	Theorem	11979	Theorem	15442	Theorem	35125	Theorem	5002345
SYO197^5.p	casc	Theorem	12382	Theorem	13470	Theorem	15232	Theorem	27668	Theorem	5000532
SYO204^5.p	casc	Theorem	16267	Theorem	11349	Theorem	16764	Theorem	26502	Theorem	5061964
SYO206^5.p	casc	Theorem	12396	Theorem	13542	Theorem	23565	Theorem	127171	Theorem	5116460
SYO207^5.p	casc	Theorem	13749	Theorem	16946	Theorem	15427	Theorem	41781	Theorem	4993272
SYO299^5.p	casc	Theorem	12674	Theorem	15164	Theorem	18185	Theorem	40903	Theorem	5054159
