benchmark,solver,configuration,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
boogie-smtlib-invariants/maxarray-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.586475,0.587252,147316.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/two-way-sort-4.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,1.38065,1.38387,148344.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/maximum-5.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.127136,0.128893,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/two-way-sort-3.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.639631,0.647315,145488.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/matrix-transpose-1.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,1.3104,1.31134,148136.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/maxarray-5.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,1.69076,1.69163,153448.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/insertion-sort-1.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,122.294,122.354,433176.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/bubble-sort-3.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,299.945,300.068,699416.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/select-k-1.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,96.9834,96.9925,333224.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/maximum-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.077488,0.0781939,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/maximum-3.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.081103,0.081763,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/bubble-sort-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.03,300.114,681796.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/maxarray-4.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,1.70085,1.70168,154356.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/one-duplicate-1.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,299.752,299.82,643376.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/two-way-sort-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.197771,0.204883,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
